,Name,Sales,Series,Release,Genre,Developer,Publisher
1,Minecraft,33.0,Minecraft,2011-11-01,"Sandbox, survival",Mojang Studios,Mojang Studios
2,Diablo III,20.0,Diablo,2012-05-01,Action role-playing,Blizzard Entertainment,Blizzard Entertainment
5,World of Warcraft,14.0,Warcraft,2004-11-01,MMORPG,Blizzard Entertainment,Blizzard Entertainment
6,Half-Life 2,12.0,Half-Life,2004-11-01,First-person shooter,Valve,Valve (digital)
7,The Witcher 3: Wild Hunt,12.0,The Witcher,2015-05-01,Action role-playing,CD Projekt Red,CD Projekt
8,StarCraft,11.0,StarCraft,1998-03-01,Real-time strategy,Blizzard Entertainment,Blizzard Entertainment
9,The Sims,11.0,The Sims,2000-02-01,Life simulation,Maxis,Electronic Arts
11,RollerCoaster Tycoon 3,10.0,RollerCoaster Tycoon,2004-10-01,Construction and management simulation,Frontier Developments,"Atari, Inc. (Windows)"
12,Half-Life,9.0,Half-Life,1998-11-01,First-person shooter,Valve,Sierra Entertainment
14,Civilization V,8.0,Civilization,2010-09-01,"Turn-based strategy, 4X",Firaxis Games,2K Games & Aspyr
15,The Sims 3,7.0,The Sims,2009-06-01,Life simulation,Maxis,Electronic Arts
16,Euro Truck Simulator 2,6.5,Truck Simulator,2012-10-01,Vehicle simulation,SCS Software,SCS Software
17,Guild Wars,6.0,Guild Wars,2005-04-01,MMORPG,ArenaNet,NCsoft
18,StarCraft II: Wings of Liberty,6.0,StarCraft,2010-07-01,Real-time strategy,Blizzard Entertainment,Blizzard Entertainment
19,The Sims 2,6.0,The Sims,2004-09-01,Life simulation,Maxis,Electronic Arts
21,ARMA 3,5.5,ARMA,2013-09-01,Tactical shooter,Bohemia Interactive,Bohemia Interactive
22,Last Ninja 2,5.5,The Last Ninja,1988-08-01,Action-adventure,System 3,Activision
24,Guild Wars 2,5.0,Guild Wars,2012-08-01,MMORPG,ArenaNet,NCsoft
25,SimCity 3000,5.0,SimCity,1999-01-01,City-building,Maxis,Electronic Arts
29,Diablo II,4.0,Diablo,2000-06-01,Action role-playing,Blizzard North,Blizzard Entertainment
30,Populous,4.0,Populous,1989-06-01,God game,Bullfrog Productions,Electronic Arts
31,RollerCoaster Tycoon,4.0,RollerCoaster Tycoon,1999-03-01,Construction and management simulation,Chris Sawyer,MicroProse Software
32,The Last Ninja,4.0,The Last Ninja,2005-06-01,Action-adventure,System 3,Activision
33,"Warhammer 40,000: Dawn of War (including expansions)",4.0,Warhammer,2004-09-01,Real-time strategy,Relic Entertainment,THQ
34,Where in the World Is Carmen Sandiego?,4.0,Carmen Sandiego,1985-06-01,Educational,Broderbund,Broderbund
35,Dark Souls,3.6,Dark Souls,2012-08-01,Action role-playing,FromSoftware,Namco Bandai Games
36,Dark Souls III,3.3,Dark Souls,2016-04-01,Action role-playing,FromSoftware,Bandai Namco Entertainment
37,Age of Empires,3.0,Age of Empires,1997-10-01,Real-time strategy,Ensemble Studios,Microsoft
38,Civilization IV,3.0,Civilization,2005-10-01,"Turn-based strategy, 4X",Firaxis Games,2K Games & Aspyr
39,Command & Conquer,3.0,Command & Conquer,1995-08-01,Real-time strategy,Westwood Studios,Virgin Interactive
40,Command & Conquer: Red Alert,3.0,Command & Conquer,1996-10-01,Real-time strategy,Westwood Studios,Virgin Interactive
41,Crysis,3.0,Crysis,2007-11-01,First-person shooter,Crytek,Electronic Arts
42,EverQuest,3.0,EverQuest,1999-03-01,MMORPG,Verant Interactive,Sony Online Entertainment
43,Life Is Strange,3.0,Life Is Strange,2015-01-01,Graphic adventure,Dontnod Entertainment,Square Enix
44,Theme Park,3.0,Theme Park,2005-06-01,Construction and management simulation,Bullfrog Productions,Electronic Arts
45,Warcraft III: Reign of Chaos,3.0,Warcraft,2002-07-01,Real-time strategy,Blizzard Entertainment,Blizzard Entertainment (North America)
46,Dark Souls II,2.7,Dark Souls,2014-04-01,Action role-playing,FromSoftware,Bandai Namco Games
47,Caesar II,2.5,Caesar,1995-09-01,City-building game,Impressions Game,Sierra On-Line
48,Caesar III,2.5,Caesar,1999-05-01,City-building game,Impressions Game,Sierra Studios
50,Lords of the Realm II,2.5,Lord of the Realm,1996-10-01,Turn-based strategy,Impressions Game,Impressions Game
51,Myst,2.5,Myst,1993-09-01,"Adventure, puzzle",Cyan,Brøderbund
52,Final Fantasy VII,2.1,Final Fantasy,1998-06-01,Role-playing game,Square,Eidos Interactive
53,7 Days to Die,2.0,7 Days,2016-06-01,Survival horror,The Fun Pimps,The Fun Pimps
54,Age of Empires II: The Age of Kings,2.0,Age of Empires,1999-09-01,Real-time strategy,Ensemble Studios,Microsoft
55,Age of Empires III,2.0,Age of Empires,2005-10-01,Real-time strategy,Ensemble Studios,Microsoft
56,Anno 1503,2.0,Anno,2003-03-01,City-building,Max Design,Sunflowers
57,Anno 1602,2.0,Anno,1998-09-01,City-building,Max Design,Sunflowers
58,Baldur's Gate,2.0,Baldur's Gate,1998-12-01,Role-playing game,BioWare,Interplay Entertainment
59,Baldur's Gate II: Shadows of Amn,2.0,Baldur's Gate,2000-09-01,Computer role-playing game,BioWare,Interplay Entertainment
60,Battlefield 1942,2.0,Battlefield,2002-09-01,First-person shooter,EA DICE,Electronic Arts
61,Black & White,2.0,Black & White,2001-03-01,God game,Lionhead Studios,EA Games
62,Civilization III,2.0,Civilization,2001-10-01,"Turn-based strategy, 4X",Firaxis Games,Infogrames
63,Cossacks II: Napoleonic Wars,2.0,Cossacks,2005-04-01,Real-time strategy,GSC Game World,CDV Software
64,Counter-Strike: Condition Zero,2.0,Counter-Strike,2004-03-01,First-person shooter,Valve,Valve (digital)
65,Counter-Strike: Source,2.0,Counter-Strike,2004-11-01,First-person shooter,Valve,Electronic Arts (retail)
66,Diablo,2.0,Diablo,1996-12-01,Action role-playing,Blizzard North,Blizzard Entertainment (North America)
67,Doom,2.0,Doom,1993-12-01,First-person shooter,id Software,id Software
68,Doom II: Hell on Earth,2.0,Doom,1994-09-01,First-person shooter,id Software,GT Interactive
69,Far Cry,2.0,Far Cry,2004-03-01,First-person shooter,Crytek,Ubisoft
70,Grand Theft Auto V,2.0,Grand Theft Auto,2015-04-01,Action-adventure,Rockstar North,Rockstar Games
71,Mafia: The City of Lost Heaven,2.0,Mafia,2002-08-01,Third-person shooter,Illusion Softworks,Gathering of Developers
73,Neverwinter Nights,2.0,Neverwinter Nights,2002-06-01,Role-playing game,BioWare,Infogrames / Atari
75,POD,2.0,POD,1997-02-01,Racing game,Ubisoft,Ubisoft
76,SimCity,2.0,SimCity,2013-03-01,City-building,Electronic Arts,Electronic Arts
77,SimCity 4,2.0,SimCity,2003-01-01,City-building,Maxis,Electronic Arts (Windows)
79,Spore,2.0,Spore,2008-09-01,God game,Maxis,Electronic Arts
81,Stronghold: Crusader,2.0,Stronghold,2002-07-01,Real-time strategy,Firefly Studios,Take-Two Interactive / Gathering of Developers
83,The Witcher,2.0,The Witcher,2007-10-01,Action role-playing,CD Projekt Red,"Atari, Inc"
84,The Witcher 2: Assassins of Kings,2.0,The Witcher,2011-05-01,Action role-playing,CD Projekt Red,CD Projekt
85,Warcraft II: Tides of Darkness,2.0,Warcraft,1995-12-01,Real-time strategy,Blizzard Entertainment,Blizzard Entertainment
86,Metal Gear Solid V: The Phantom Pain,1.8,Metal Gear Solid,2015-09-01,"Action-adventure, stealth",Kojima Productions,Konami
87,American Truck Simulator,1.5,Trucks Simulator,2012-10-01,Vehicle simulation,SCS Software,SCS Software
88,International Karate,1.5,International Karate,1985-11-01,Fighting,System 3,Epyx
89,Sega Mega Drive and Genesis Classics,1.5,Sega Mega Drive and Genesis Classics,2010-06-01,Compilation,Sega,Sega
91,Resident Evil 6,1.3,Resident Evil,2013-03-01,"Third-person shooter, survival horror",Capcom,Capcom
93,Ultra Street Fighter IV,1.3,Street Fighter,2009-07-01,Fighting,Capcom,Capcom
